Data,Explanation,Unit,Value,Year,Citation
Labor,収集コスト（運搬除く）,USD/t,64.1025641,2008,Saga_2008
Fuel,収集コスト（運搬除く）,USD/t,8.547008547,2008,Saga_2008
Equipment,収集コスト（運搬除く）,USD/t,12.45726496,2008,Saga_2008
Attachment_depreciation,収集コスト（運搬除く）,USD/t,67.67094017,2008,Saga_2008
Maintenance,収集コスト（運搬除く）,USD/t,17.7991453,2008,Saga_2008
