Stack,Stack_capex,Electronics,Purification,Heat_management,Compression,Contingency,Total
Unit,usd,usd,usd,usd,usd,usd,usd
MW_5,2739766.5,930500,836800,228400,1440800,2058755.5,8235022
MW_10,5249898,1861000,794000,229400,1710400,3281566,13126264
MW_100,50446566,18610000,1253500,357900,3355700,24674555.33,98698221.33
GW_1,502672890,186100000,3714600,997600,20367200,237950763.3,951803053.3
