Stack,Stack_capex,Electronics,Purification,Heat_management,Compression,Contingency,Total
Unit,usd,usd,usd,usd,usd,usd,usd
MW_5,2015950.5,930500,907400,267500,1470000,1863783.5,7455134
MW_10,3887967,1861000,916400,277700,1729400,2890822.333,11563289.33
MW_100,37655187,18610000,1590800,425600,3437500,20573029,82292116
GW_1,375474870,186100000,3724000,751300,20789800,195613323.3,782453293.3
