Stack,Stack_capex,Electronics,Purification,Heat_management,Compression,Contingency,Total
Unit,usd,usd,usd,usd,usd,usd,usd
MW_5,948592.5,930500,907400,267500,1470000,1507997.5,6031990
MW_10,1753251,1861000,916400,277700,1729400,2179250.333,8717001.333
MW_100,16308027,18610000,1590800,425600,3437500,13457309,53829236
GW_1,162003270,186100000,3724000,751300,20789800,124456123.3,497824493.3
