Process,Base_cost,Base_scale,Scaling_factor,Year
Stack_capex,550475.405,1,0.985,2019
Electronics,186100,1,1,2019
Purification,442684.361,1,0.285,2019
Heat_management,126335.606,1,0.279,2019
Compression,549909.066,1,0.487,2019
Contingency,436028.705,1,0.902,2019
